No,Nama,Titik Koordinat Pusat
1,Agung,"-8.341953075466813, 115.50750732421875"
2,Ambang,"0.7535717180105911, 124.42119598388675"
3,Anak Krakatau,"-6.1016391293547425, 105.4241180419922"
4,Anak Ranakah,"-8.633806608897267, 120.53272247314456"
5,Arjuno Welirang,"-7.733445463620818, 112.57484436035155"
6,Awu,"3.682345501935164, 125.4521942138672"
7,Banda Api,"-4.52269310446871, 129.88105773925784"
8,Batur,"-8.24563904165236, 115.36931991577148"
9,Batutara,"-7.789914903590686, 123.58777999877933"
10,Bromo,"-7.941596147894652, 112.95181274414064"
11,Bur Ni Telong,"4.768730969283216, 96.82113647460939"
12,Ciremai,"-6.895752309876321, 108.4079360961914"
13,Colo,"-0.16891455023785007, 121.60766601562503"
14,Dempo,"-4.01564458761465, 103.11973571777345"
15,Dieng,"-7.199681955820926, 109.84199523925783"
16,Dukono,"1.700571185447282, 127.87742614746094"
17,Ebulobo,"-8.815698116551511, 121.19104385375978"
18,Egon,"-8.677421123289987, 122.45412826538086"
19,Galunggung,"-7.256561216674466, 108.07594299316408"
20,Gamalama,"0.8084982528736103, 127.32982635498048"
21,Gamkonora,"1.3740176052088195, 127.53324508666995"
22,Gede,"-6.787694012959388, 106.98177337646486"
23,Guntur,"-7.155059096882949, 107.85140991210938"
24,Ibu,"1.496716953308559, 127.63229370117189"
25,Ijen,"-8.058209829960761, 114.24150466918947"
26,Ile Werung,"-8.530944686436083, 123.57233047485353"
27,Ili Boleng,"-8.342972145153515, 123.25252532958984"
28,Ili Lewotolok,"-8.272310367719044, 123.50967407226562"
29,Inielika,"-8.741391217483116, 120.97629547119143"
30,Inierie,"-8.877269913077871, 120.95466613769533"
31,Iya,"-8.896265189138516, 121.63547515869142"
32,Kaba,"-3.5149630929754334, 102.62517929077148"
33,Karangetang,"2.778794334154057, 125.40653228759767"
34,Kelimutu,"-8.766331492695036, 121.8146896362305"
35,Kelud,"-7.934115417828395, 112.30087280273438"
36,Kerinci,"-1.698168983156666, 101.26785278320314"
37,Kie Besi,"0.3244382686246617, 127.39952087402345"
38,Lamongan,"-7.981037741199017, 113.34045410156251"
39,Lereboleng,"-8.364711664748562, 122.8319549560547"
40,Lewotobi Laki-laki,"-8.537693545914456, 122.76761119667694"
41,Lewotobi Perempuan,"-8.55149087843017, 122.77991342294409"
42,Lokon,"1.365608601529216, 124.79713439941409"
43,Mahawu,"1.3535956881386386, 124.86236572265628"
44,Marapi,"-0.38966832172590976, 100.46585083007812"
45,Merapi,"-7.539487167568595, 110.44418334960939"
46,Papandayan,"-7.315135933737784, 107.73056030273438"
47,Peut Sague,"4.905912990573857, 96.30495071411134"
48,Raung,"-8.114974623769035, 114.05731201171875"
49,Rinjani,"-8.412602260297847, 116.42349243164064"
50,Rokatenda,"-8.331762232475162, 121.70791625976564"
51,Ruang,"2.306848728392508, 125.36567687988284"
52,Salak,"-6.710640768983543, 106.72840118408203"
53,Sangeangapi,"-8.19755816127681, 119.06845092773439"
54,Semeru,"-8.11361508149333, 112.92366027832033"
55,Seulawah Agam,"5.447174237637142, 95.65521240234376"
56,Sinabung,"3.1727394767107056, 98.39012145996095"
57,Sirung,"-8.496736094265119, 124.13057327270508"
58,Slamet,"-7.2398728349881925, 109.21577453613283"
59,Soputan,"1.1146986557556793, 124.73705291748048"
60,Sorikmarapi,"0.6828527916088669, 99.54025268554688"
61,Sumbing,"-7.381193538994669, 110.0764846801758"
62,Sundoro,"-7.2991308123982765, 109.99443054199219"
63,Talang,"-0.984257922417017, 100.68077087402345"
64,Tambora,"-8.24309073152939, 117.99316406250001"
65,Tandikat,"-0.4293803274252469, 100.3161570834601"
66,Tangkoko,"1.5076162060301508, 125.21930428134557"
67,Tangkuban Parahu,"-6.759267840593143, 107.61675420979454"
68,Wurlali,"-7.121638054363377, 128.6806054612384"
