Gunung,M4,M5,M6,Min,Best Method,Max,Worst Method,Average
Agung,0.42,0.18,0.29,0.18,Metode 5,0.42,Metode 4,0.3
Ambang,0.25,0.35,0.33,0.25,Metode 4,0.35,Metode 5,0.31
Anak Krakatau,0.2,0.73,0.26,0.2,Metode 4,0.73,Metode 5,0.4
Anak Ranakah,0.46,0.15,0.29,0.15,Metode 5,0.46,Metode 4,0.3
Arjuno Welirang,2.47,2.21,2.07,2.07,Metode 6,2.47,Metode 4,2.25
Awu,0.27,0.29,0.26,0.26,Metode 6,0.29,Metode 5,0.27
Banda Api,0.08,0.11,0.04,0.04,Metode 6,0.11,Metode 5,0.08
Batur,1.09,0.98,1.04,0.98,Metode 5,1.09,Metode 4,1.04
Batutara,0.18,0.16,0.19,0.16,Metode 5,0.19,Metode 6,0.18
Bromo,0.75,0.77,0.42,0.42,Metode 6,0.77,Metode 5,0.65
Bur Ni Telong,0.26,0.08,0.36,0.08,Metode 5,0.36,Metode 6,0.23
Ciremai,1.24,0.36,0.44,0.36,Metode 5,1.24,Metode 4,0.68
Colo,0.21,0.08,0.09,0.08,Metode 5,0.21,Metode 4,0.13
Dempo,0.44,0.1,0.24,0.1,Metode 5,0.44,Metode 4,0.26
Dieng,2.85,5.67,5.87,2.85,Metode 4,5.87,Metode 6,4.8
Dukono,1.41,0.24,0.14,0.14,Metode 6,1.41,Metode 4,0.6
Ebulobo,0.03,0.04,0.21,0.03,Metode 4,0.21,Metode 6,0.09
Egon,0.44,0.17,0.15,0.15,Metode 6,0.44,Metode 4,0.25
Galunggung,1.89,3.14,3.11,1.89,Metode 4,3.14,Metode 5,2.71
Gamalama,0.51,0.31,0.33,0.31,Metode 5,0.51,Metode 4,0.38
Gamkonora,0.71,0.58,0.68,0.58,Metode 5,0.71,Metode 4,0.66
Gede,2.38,0.26,0.15,0.15,Metode 6,2.38,Metode 4,0.93
Guntur,2.14,2.34,2.47,2.14,Metode 4,2.47,Metode 6,2.32
Ibu,0.49,0.37,0.25,0.25,Metode 6,0.49,Metode 4,0.37
Ijen,0.74,1.45,1.64,0.74,Metode 4,1.64,Metode 6,1.28
Ile Werung,0.78,0.18,0.16,0.16,Metode 6,0.78,Metode 4,0.37
Ili Boleng,0.44,0.26,0.37,0.26,Metode 5,0.44,Metode 4,0.36
Ili Lewotolok,0.55,0.1,0.1,0.1,Metode 5,0.55,Metode 4,0.25
Inielika,1.08,1.07,0.91,0.91,Metode 6,1.08,Metode 4,1.02
Inierie,0.1,0.25,0.45,0.1,Metode 4,0.45,Metode 6,0.27
Iya,0.58,0.24,0.38,0.24,Metode 5,0.58,Metode 4,0.4
Kaba,1.27,0.53,0.42,0.42,Metode 6,1.27,Metode 4,0.74
Karangetang,0.4,0.19,0.89,0.19,Metode 5,0.89,Metode 6,0.49
Kelimutu,2.11,0.16,0.26,0.16,Metode 5,2.11,Metode 4,0.84
Kelud,0.92,0.62,0.59,0.59,Metode 6,0.92,Metode 4,0.71
Kerinci,0.52,0.37,0.35,0.35,Metode 6,0.52,Metode 4,0.41
Kie Besi,0.36,0.45,0.64,0.36,Metode 4,0.64,Metode 6,0.48
Lamongan,0.72,0.9,1.08,0.72,Metode 4,1.08,Metode 6,0.9
Lereboleng,1.75,0.9,1.08,0.9,Metode 5,1.75,Metode 4,1.24
Lewotobi Perempuan,0.54,0.16,0.33,0.16,Metode 5,0.54,Metode 4,0.34
Lokon,0.43,0.26,0.16,0.16,Metode 6,0.43,Metode 4,0.28
Mahawu,0.53,0.11,0.04,0.04,Metode 6,0.53,Metode 4,0.23
Marapi,0.77,0.51,0.51,0.51,Metode 5,0.77,Metode 4,0.6
Merapi,0.74,0.26,0.21,0.21,Metode 6,0.74,Metode 4,0.4
Papandayan,0.98,1.16,0.89,0.89,Metode 6,1.16,Metode 5,1.01
Peut Sague,1.2,0.93,0.66,0.66,Metode 6,1.2,Metode 4,0.93
Raung,0.23,0.65,0.41,0.23,Metode 4,0.65,Metode 5,0.43
Rinjani,1.56,1.85,1.59,1.56,Metode 4,1.85,Metode 5,1.67
Rokatenda,1.02,0.26,0.26,0.26,Metode 5,1.02,Metode 4,0.51
Ruang,0.5,0.27,0.64,0.27,Metode 5,0.64,Metode 6,0.47
Salak,0.82,0.75,1.09,0.75,Metode 5,1.09,Metode 6,0.89
Sangeangapi,0.43,0.42,0.42,0.42,Metode 5,0.43,Metode 4,0.42
Semeru,0.76,0.28,0.63,0.28,Metode 5,0.76,Metode 4,0.56
Seulawah Agam,0.76,0.16,2.02,0.16,Metode 5,2.02,Metode 6,0.98
Sinabung,0.11,0.57,1.02,0.11,Metode 4,1.02,Metode 6,0.57
Sirung,0.53,0.49,0.9,0.49,Metode 5,0.9,Metode 6,0.64
Slamet,0.67,0.22,0.2,0.2,Metode 6,0.67,Metode 4,0.36
Soputan,0.61,0.05,0.06,0.05,Metode 5,0.61,Metode 4,0.24
Sorikmarapi,0.86,0.13,0.14,0.13,Metode 5,0.86,Metode 4,0.38
Sumbing,0.62,0.33,0.46,0.33,Metode 5,0.62,Metode 4,0.47
Sundoro,0.22,0.34,0.47,0.22,Metode 4,0.47,Metode 6,0.34
Talang,1.0,0.34,0.3,0.3,Metode 6,1.0,Metode 4,0.55
Tambora,0.33,0.22,1.09,0.22,Metode 5,1.09,Metode 6,0.55
Tandikat,0.74,0.99,2.02,0.74,Metode 4,2.02,Metode 6,1.25
Tangkoko,0.56,0.09,0.08,0.08,Metode 6,0.56,Metode 4,0.24
Tangkuban Parahu,4.17,5.3,6.34,4.17,Metode 4,6.34,Metode 6,5.27
Wurlali,0.22,0.12,0.19,0.12,Metode 5,0.22,Metode 4,0.18
