Gunung,Metode 1,Metode 2,Metode 4,Metode 8,Metode 9,Min,Best Method,Max,Worst Method
Agung,0.46,0.31,0.42,0.18,0.41,0.18,Metode 8,0.46,Metode 1
Ambang,0.64,0.45,0.25,0.2,0.3,0.2,Metode 8,0.64,Metode 1
Anak Krakatau,0.17,0.4,0.2,0.06,0.08,0.06,Metode 8,0.4,Metode 2
Anak Ranakah,1.1,0.29,0.46,0.16,0.3,0.16,Metode 8,1.1,Metode 1
Arjuno Welirang,2.39,3.48,2.47,1.79,1.62,1.62,Metode 9,3.48,Metode 2
Awu,0.28,0.36,0.27,0.29,0.24,0.24,Metode 9,0.36,Metode 2
Banda Api,0.37,1.03,0.08,0.21,0.15,0.08,Metode 4,1.03,Metode 2
Batur,0.91,0.73,1.09,0.98,1.07,0.73,Metode 2,1.09,Metode 4
Batutara,0.21,0.68,0.18,0.15,0.28,0.15,Metode 8,0.68,Metode 2
Bromo,0.21,0.53,0.74,1.1,0.1,0.1,Metode 9,1.1,Metode 8
Bur Ni Telong,0.14,0.16,0.26,0.01,0.52,0.01,Metode 8,0.52,Metode 9
Ciremai,2.6,6.18,1.24,0.47,0.53,0.47,Metode 8,6.18,Metode 2
Colo,0.26,2.08,0.21,0.08,0.5,0.08,Metode 8,2.08,Metode 2
Dempo,1.1,0.21,0.44,0.11,0.21,0.11,Metode 8,1.1,Metode 1
Dieng,3.81,4.02,2.85,5.95,6.51,2.85,Metode 4,6.51,Metode 9
Dukono,0.04,0.03,1.41,0.02,0.03,0.02,Metode 8,1.41,Metode 4
Ebulobo,0.14,0.14,0.03,0.06,0.24,0.03,Metode 4,0.24,Metode 9
Egon,0.19,0.19,0.44,0.17,0.16,0.16,Metode 9,0.44,Metode 4
Galunggung,1.83,0.71,1.89,3.12,3.08,0.71,Metode 2,3.12,Metode 8
Gamalama,0.33,0.33,0.51,0.34,0.44,0.33,Metode 1,0.51,Metode 4
Gamkonora,0.56,0.57,0.71,0.56,0.69,0.56,Metode 1,0.71,Metode 4
Gede,3.67,6.27,2.39,0.07,0.2,0.07,Metode 8,6.27,Metode 2
Guntur,1.02,1,2.14,1.48,0.99,0.99,Metode 9,2.14,Metode 4
Ibu,0.1,0.1,0.49,0.21,0.38,0.1,Metode 1,0.49,Metode 4
Ijen,1.91,2.94,0.74,1.34,1.48,0.74,Metode 4,2.94,Metode 2
Ile Werung,0.67,0.88,0.78,0.43,0.26,0.26,Metode 9,0.88,Metode 2
Ili Boleng,1.04,0.15,0.44,0.35,0.53,0.15,Metode 2,1.04,Metode 1
Ili Lewotolok,0.62,0.11,0.55,0.08,0.19,0.08,Metode 8,0.62,Metode 1
Inielika,1.07,3.61,1.08,1.04,0.81,0.81,Metode 9,3.61,Metode 2
Inierie,0.42,0.55,0.1,0.36,0.57,0.1,Metode 4,0.57,Metode 9
Iya,0.65,0.84,0.58,0.27,0.48,0.27,Metode 8,0.84,Metode 2
Kaba,1.65,0.44,1.27,0.45,0.32,0.32,Metode 9,1.65,Metode 1
Karangetang,0.5,0.52,0.4,0.4,0.74,0.4,Metode 4,0.74,Metode 9
Kelimutu,1.32,0.15,2.11,0.13,0.17,0.13,Metode 8,2.11,Metode 4
Kelud,0.54,1.12,0.92,0.55,0.6,0.54,Metode 1,1.12,Metode 2
Kerinci,0.25,0.24,0.52,0.24,0.38,0.24,Metode 2,0.52,Metode 4
Kie Besi,0.26,0.33,0.36,0.23,0.48,0.23,Metode 8,0.48,Metode 9
Lamongan,1.18,1.32,0.72,0.98,1.18,0.72,Metode 4,1.32,Metode 2
Lereboleng,0.12,0.84,1.75,0.9,1.17,0.12,Metode 1,1.75,Metode 4
Lewotobi Laki-laki,0.19,0.19,0.07,0.05,0.13,0.05,Metode 8,0.19,Metode 1
Lewotobi Perempuan,0.5,0.46,0.54,0.19,0.37,0.19,Metode 8,0.54,Metode 4
Lokon,0.28,0.28,0.43,0.76,0.78,0.28,Metode 1,0.78,Metode 9
Mahawu,0.7,0.02,0.53,0.11,0.06,0.02,Metode 2,0.7,Metode 1
Marapi,0.02,1.09,0.77,0.52,0.7,0.02,Metode 1,1.09,Metode 2
Merapi,0.5,0.8,0.74,0.37,0.38,0.37,Metode 8,0.8,Metode 2
Papandayan,0.87,0.95,0.98,1.04,0.37,0.37,Metode 9,1.04,Metode 8
Peut Sague,0.73,3.24,1.19,0.04,1.46,0.04,Metode 8,3.24,Metode 2
Raung,0.68,0.65,0.23,0.65,0.37,0.23,Metode 4,0.68,Metode 1
Rinjani,2.61,0.63,1.56,0.39,1.42,0.39,Metode 8,2.61,Metode 1
Rokatenda,1,4.4,1.03,0.19,0.1,0.1,Metode 9,4.4,Metode 2
Ruang,0.36,0.51,0.5,0.27,0.43,0.27,Metode 8,0.51,Metode 2
Salak,0.69,1.98,0.82,0.78,1.12,0.69,Metode 1,1.98,Metode 2
Sangeangapi,0.79,0.99,0.43,0.36,0.49,0.36,Metode 8,0.99,Metode 2
Semeru,0.38,0.39,0.76,0.13,0.68,0.13,Metode 8,0.76,Metode 4
Seulawah Agam,1.03,0.15,0.76,0.41,0.72,0.15,Metode 2,1.03,Metode 1
Sinabung,2.13,2.26,0.11,0.76,1.05,0.11,Metode 4,2.26,Metode 2
Sirung,0.61,0.53,0.53,0.67,0.97,0.53,Metode 2,0.97,Metode 9
Slamet,0.7,0.21,0.67,0.22,0.32,0.21,Metode 2,0.7,Metode 1
Soputan,0.4,0.43,0.61,0.06,0.26,0.06,Metode 8,0.61,Metode 4
Sorikmarapi,0.26,0.12,0.86,0.16,0.12,0.12,Metode 2,0.86,Metode 4
Sumbing,0.62,0.33,0.62,0.35,0.3,0.3,Metode 9,0.62,Metode 1
Sundoro,0.87,0.26,0.22,0.25,0.41,0.22,Metode 4,0.87,Metode 1
Talang,0.26,0.23,1,0.33,0.12,0.12,Metode 9,1,Metode 4
Tambora,2.46,2.64,0.33,0.56,1.04,0.33,Metode 4,2.64,Metode 2
Tandikat,1.38,2.28,0.74,1.2,1.26,0.74,Metode 4,2.28,Metode 2
Tangkoko,0.32,0.43,0.56,0.1,0.23,0.1,Metode 8,0.56,Metode 4
Tangkuban Parahu,5.8,6.85,4.17,1.8,1,1,Metode 9,6.85,Metode 2
Wurlali,0.12,0.1,0.22,0.12,0.26,0.1,Metode 2,0.26,Metode 9
